Telecamera 1, 19/02/2026, 16:43:44, STATUS: Online, Salvataggio: OK
Telecamera 2, 19/02/2026, 16:43:44, STATUS: Online, Salvataggio: OK
Telecamera 3, 19/02/2026, 16:43:44, STATUS: Online, Salvataggio: OK
Telecamera 4, 19/02/2026, 16:43:44, STATUS: Online, Salvataggio: OK
