
Telecamera 1, 09/02/2026, 15:57:05, STATUS: Salvataggio Automatico
Telecamera 2, 09/02/2026, 15:57:05, STATUS: Salvataggio Automatico
Telecamera 3, 09/02/2026, 15:57:05, STATUS: Salvataggio Automatico
Telecamera 4, 09/02/2026, 15:57:05, STATUS: Salvataggio Automatico
Telecamera 1, 09/02/2026, 15:57:35, STATUS: Salvataggio Automatico
Telecamera 2, 09/02/2026, 15:57:35, STATUS: Salvataggio Automatico
Telecamera 3, 09/02/2026, 15:57:35, STATUS: Salvataggio Automatico
Telecamera 4, 09/02/2026, 15:57:35, STATUS: Salvataggio Automatico
Telecamera 1, 09/02/2026, 15:58:05, STATUS: Salvataggio Automatico
Telecamera 2, 09/02/2026, 15:58:05, STATUS: Salvataggio Automatico
Telecamera 3, 09/02/2026, 15:58:05, STATUS: Salvataggio Automatico
Telecamera 4, 09/02/2026, 15:58:05, STATUS: Salvataggio Automatico
Telecamera 1, 09/02/2026, 16:20:44, STATUS: Salvataggio Automatico
Telecamera 2, 09/02/2026, 16:20:44, STATUS: Salvataggio Automatico
Telecamera 3, 09/02/2026, 16:20:44, STATUS: Salvataggio Automatico
Telecamera 4, 09/02/2026, 16:20:44, STATUS: Salvataggio Automatico
Telecamera 1, 09/02/2026, 16:20:52, STATUS: Salvataggio Automatico
Telecamera 2, 09/02/2026, 16:20:52, STATUS: Salvataggio Automatico
Telecamera 3, 09/02/2026, 16:20:52, STATUS: Salvataggio Automatico
Telecamera 4, 09/02/2026, 16:20:52, STATUS: Salvataggio Automatico
Telecamera 1, 09/02/2026, 16:25:38, STATUS: Salvataggio Automatico
Telecamera 2, 09/02/2026, 16:25:38, STATUS: Salvataggio Automatico
Telecamera 3, 09/02/2026, 16:25:38, STATUS: Salvataggio Automatico
Telecamera 4, 09/02/2026, 16:25:38, STATUS: Salvataggio Automatico
Telecamera 1, 09/02/2026, 16:41:47, STATUS: Salvataggio Automatico
Telecamera 2, 09/02/2026, 16:41:47, STATUS: Salvataggio Automatico
Telecamera 3, 09/02/2026, 16:41:47, STATUS: Salvataggio Automatico
Telecamera 4, 09/02/2026, 16:41:47, STATUS: Salvataggio Automatico
Telecamera 1, 09/02/2026, 16:42:18, STATUS: Salvataggio Automatico
Telecamera 2, 09/02/2026, 16:42:18, STATUS: Salvataggio Automatico
Telecamera 3, 09/02/2026, 16:42:18, STATUS: Salvataggio Automatico
Telecamera 4, 09/02/2026, 16:42:18, STATUS: Salvataggio Automatico
Telecamera 1, 09/02/2026, 16:42:32, STATUS: Salvataggio Automatico
Telecamera 2, 09/02/2026, 16:42:32, STATUS: Salvataggio Automatico
Telecamera 3, 09/02/2026, 16:42:32, STATUS: Salvataggio Automatico
Telecamera 4, 09/02/2026, 16:42:32, STATUS: Salvataggio Automatico
Telecamera 1, 09/02/2026, 16:45:31, STATUS: Salvataggio Automatico
Telecamera 2, 09/02/2026, 16:45:31, STATUS: Salvataggio Automatico
Telecamera 3, 09/02/2026, 16:45:31, STATUS: Salvataggio Automatico
Telecamera 4, 09/02/2026, 16:45:31, STATUS: Salvataggio Automatico
Telecamera 1, 09/02/2026, 16:48:51, STATUS: Salvataggio Automatico
Telecamera 2, 09/02/2026, 16:48:51, STATUS: Salvataggio Automatico
Telecamera 3, 09/02/2026, 16:48:51, STATUS: Salvataggio Automatico
Telecamera 4, 09/02/2026, 16:48:51, STATUS: Salvataggio Automatico
Telecamera 1, 09/02/2026, 17:16:39, STATUS: Salvataggio Automatico
Telecamera 2, 09/02/2026, 17:16:39, STATUS: Salvataggio Automatico
Telecamera 3, 09/02/2026, 17:16:39, STATUS: Salvataggio Automatico
Telecamera 4, 09/02/2026, 17:16:39, STATUS: Salvataggio Automatico
Telecamera 1, 09/02/2026, 17:20:08, STATUS: Salvataggio Automatico
Telecamera 2, 09/02/2026, 17:20:08, STATUS: Salvataggio Automatico
Telecamera 3, 09/02/2026, 17:20:08, STATUS: Salvataggio Automatico
Telecamera 4, 09/02/2026, 17:20:08, STATUS: Salvataggio Automatico
Telecamera 1, 09/02/2026, 17:20:39, STATUS: Salvataggio Automatico
Telecamera 2, 09/02/2026, 17:20:39, STATUS: Salvataggio Automatico
Telecamera 3, 09/02/2026, 17:20:39, STATUS: Salvataggio Automatico
Telecamera 4, 09/02/2026, 17:20:39, STATUS: Salvataggio Automatico
